SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41011000;PELES EM BRUTO,DE BOVINO,INTEIRAS,QDO.SECAS<=8KG,ETC.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41012000;CORUOS/PELES BRU.,INT. N/DIVID.C/ RESTRICAO DE PES.MAX.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012010;COUROS/PELES,BOVINOS,INTEIROS,S/DIVID.P<=8KG
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012020;COUROS/PELES,BOVINOS,INT.DIV.C/A FLOR,P<=8KG
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012030;COUROS/PELES,BOVINOS,INT.DIV.S/A FLOR,P<=8KG
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012110;PELE EM BRUTO,DE BOVINO,INTEIRA,N/DIVIDIDA,FRESCA,ETC.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012120;PELE EM BRUTO,DE BOVINO,INTEIRA,DIVID.C/FLOR,FRESCA,ETC
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012130;PELE EM BRUTO,DE BOVINO,INTEIRA,DIVID.S/FLOR,FRESCA,ETC
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012210;PELE EM BRUTO,DE BOVINO,(DORSOS),N/DIVIDIDA,FRESCA,ETC.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012220;PELE EM BRUTO,DE BOVINO (DORSO),DIVID.C/FLOR,FRESCA,ETC
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012230;PELE EM BRUTO,DE BOVINO (DORSO),DIVID.S/FLOR,FRESCA,ETC
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012910;OUTS.PELES EM BRUTO,DE BOVINO,NAO DIVIDIDAS,FRESCAS,ETC
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012920;OUTS.PELES EM BRUTO,DE BOVINO,DIVID.C/FLOR,FRESCAS,ETC.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41012930;OUTS.PELES EM BRUTO,DE BOVINO,DIVID.S/FLOR,FRESCAS,ETC.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41013010;PELE EM BRUTO,DE BOVINO,CONSERV.DE OUT.MODO,N/DIVIDIDA
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41013020;PELE EM BRUTO,DE BOVINO,CONSERV.OUT.MODO,DIVID.C/A FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, EM BRUTO;41013030;PELE EM BRUTO,DE BOVINO,CONSERV.OUT.MODO,DIVID.S/A FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE EQUÍDEOS, EM BRUTO;41014010;PELES EM BRUTO,DE EQUIDEOS,NAO DIVIDIDAS
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE EQUÍDEOS, EM BRUTO;41014020;PELES EM BRUTO,DE EQUIDEOS,DIVIDIDAS COM A FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE EQUÍDEOS, EM BRUTO;41014030;PELES EM BFUTO,DE EQUIDEOS,DIVIDIDAS SEM A FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41015010;COUROS/PELES,BOVINOS,INTEIROS,S/DIVID.P>=16KG
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41015020;COUROS/PELES,BOVINOS,INT.DIV.C/A FLOR,P>=16KG
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41015030;COUROS/PELES,BOVINOS,INT.DIV.S/A FLOR,P>=16KG
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41019010;OUTS.COUROS E PELES,DE BOVINOS,SEM DIVIDIR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41019020;OUTS.COUROS/PELES,DE BOVINOS,DIVID.C/A FLOR
